TICK: 19173968: Log_pts_dbg - TSPC_BAP_41_1 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_41_10 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_41_11 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_41_12 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_41_13 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_41_14 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_41_15 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_41_16 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_41_2 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_41_3 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_41_4 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_41_5 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_41_6 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_41_7 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_41_8 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_41_9 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_42_1 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_43_1 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_44_1 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_44_10 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_44_11 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_44_12 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_44_13 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_44_14 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_44_15 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_44_16 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_44_2 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_44_3 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_44_4 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_44_5 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_44_6 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_44_7 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_44_8 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_44_9 TRUE
TICK: 19173968: Log_pts_dbg - TSPC_BAP_45_1 TRUE
